,survived,sex,age,passengerClass,passengerClass
"Allen, Miss. Elisabeth Walton",1,female,29,1st,1st
"Allison, Master. Hudson Trevor",1,male,0.916700006,1st,1st
"Allison, Miss. Helen Loraine",0,female,2,1st,1st
"Allison, Mr. Hudson Joshua Crei",0,male,30,1st,1st
"Allison, Mrs. Hudson J C (Bessi",0,female,25,1st,1st
"Anderson, Mr. Harry",1,male,48,1st,1st
"Andrews, Miss. Kornelia Theodos",1,female,63,1st,1st
"Andrews, Mr. Thomas Jr",0,male,39,1st,1st
"Appleton, Mrs. Edward Dale (Cha",1,female,53,1st,1st
"Artagaveytia, Mr. Ramon",0,male,71,1st,1st
"Astor, Col. John Jacob",0,male,47,1st,1st
"Astor, Mrs. John Jacob (Madelei",1,female,18,1st,1st
"Aubart, Mme. Leontine Pauline",1,female,24,1st,1st
"Barber, Miss. Ellen Nellie",1,female,26,1st,1st
"Barkworth, Mr. Alger0n Henry W",1,male,80,1st,1st
"Baumann, Mr. John D",0,male,NA,1st,1st
"Baxter, Mr. Quigg Edmond",0,male,24,1st,1st
"Baxter, Mrs. James (Helene DeLa",1,female,50,1st,1st
"Bazzani, Miss. Albina",1,female,32,1st,1st
"Beattie, Mr. Thomson",0,male,36,1st,1st
"Beckwith, Mr. Richard Leonard",1,male,37,1st,1st
"Beckwith, Mrs. Richard Leonard",1,female,47,1st,1st
"Behr, Mr. Karl Howell",1,male,26,1st,1st
"Bidois, Miss. Rosalie",1,female,42,1st,1st
"Bird, Miss. Ellen",1,female,29,1st,1st
"Birnbaum, Mr. Jakob",0,male,25,1st,1st
"Bishop, Mr. Dickinson H",1,male,25,1st,1st
"Bishop, Mrs. Dickinson H (Helen",1,female,19,1st,1st
"Bissette, Miss. Amelia",1,female,35,1st,1st
"Bjornstrom-Steffansson, Mr. Mau",1,male,28,1st,1st
"Blackwell, Mr. Stephen Weart",0,male,45,1st,1st
"Blank, Mr. Henry",1,male,40,1st,1st
"Bonnell, Miss. Caroline",1,female,30,1st,1st
"Bonnell, Miss. Elizabeth",1,female,58,1st,1st
"Borebank, Mr. John James",0,male,42,1st,1st
"Bowen, Miss. Grace Scott",1,female,45,1st,1st
"Bowerman, Miss. Elsie Edith",1,female,22,1st,1st
"Bradley, Mr. George (George Ar",1,male,NA,1st,1st
"Brady, Mr. John Bertram",0,male,41,1st,1st
"Brandeis, Mr. Emil",0,male,48,1st,1st
"Brewe, Dr. Arthur Jackson",0,male,NA,1st,1st
"Brown, Mrs. James Joseph (Marga",1,female,44,1st,1st
"Brown, Mrs. John Murray (Caroli",1,female,59,1st,1st
"Bucknell, Mrs. William Robert (",1,female,60,1st,1st
"Burns, Miss. Elizabeth Margaret",1,female,41,1st,1st
"Butt, Major. Archibald Willingh",0,male,45,1st,1st
"Cairns, Mr. Alexander",0,male,NA,1st,1st
"Calderhead, Mr. Edward Penningt",1,male,42,1st,1st
"Candee, Mrs. Edward (Helen Chur",1,female,53,1st,1st
"Cardeza, Mr. Thomas Drake Marti",1,male,36,1st,1st
"Cardeza, Mrs. James Warburton M",1,female,58,1st,1st
"Carlsson, Mr. Frans Olof",0,male,33,1st,1st
"Carrau, Mr. Francisco M",0,male,28,1st,1st
"Carrau, Mr. Jose Pedro",0,male,17,1st,1st
"Carter, Master. William Thornto",1,male,11,1st,1st
"Carter, Miss. Lucile Polk",1,female,14,1st,1st
"Carter, Mr. William Ernest",1,male,36,1st,1st
"Carter, Mrs. William Ernest (Lu",1,female,36,1st,1st
"Case, Mr. Howard Brown",0,male,49,1st,1st
"Cassebeer, Mrs. Henry Arthur Jr",1,female,NA,1st,1st
"Cavendish, Mr. Tyrell William",0,male,36,1st,1st
"Cavendish, Mrs. Tyrell William",1,female,76,1st,1st
"Chaffee, Mr. Herbert Fuller",0,male,46,1st,1st
"Chaffee, Mrs. Herbert Fuller (C",1,female,47,1st,1st
"Chambers, Mr. 0rman Campbell",1,male,27,1st,1st
"Chambers, Mrs. 0rman Campbell",1,female,33,1st,1st
"Chaudanson, Miss. Victorine",1,female,36,1st,1st
"Cherry, Miss. Gladys",1,female,30,1st,1st
"Chevre, Mr. Paul Romaine",1,male,45,1st,1st
"Chibnall, Mrs. (Edith Martha Bo",1,female,NA,1st,1st
"Chisholm, Mr. Roderick Robert C",0,male,NA,1st,1st
"Clark, Mr. Walter Miller",0,male,27,1st,1st
"Clark, Mrs. Walter Miller (Virg",1,female,26,1st,1st
"Cleaver, Miss. Alice",1,female,22,1st,1st
"Clifford, Mr. George Quincy",0,male,NA,1st,1st
"Colley, Mr. Edward Pomeroy",0,male,47,1st,1st
"Compton, Miss. Sara Rebecca",1,female,39,1st,1st
"Compton, Mr. Alexander Taylor J",0,male,37,1st,1st
"Compton, Mrs. Alexander Taylor",1,female,64,1st,1st
"Cornell, Mrs. Robert Clifford (",1,female,55,1st,1st
"Crafton, Mr. John Bertram",0,male,NA,1st,1st
"Crosby, Capt. Edward Gifford",0,male,70,1st,1st
"Crosby, Miss. Harriet R",1,female,36,1st,1st
"Crosby, Mrs. Edward Gifford (Ca",1,female,64,1st,1st
"Cumings, Mr. John Bradley",0,male,39,1st,1st
"Cumings, Mrs. John Bradley (Flo",1,female,38,1st,1st
"Daly, Mr. Peter Denis",1,male,51,1st,1st
"Daniel, Mr. Robert Williams",1,male,27,1st,1st
"Daniels, Miss. Sarah",1,female,33,1st,1st
"Davidson, Mr. Thornton",0,male,31,1st,1st
"Davidson, Mrs. Thornton (Orian",1,female,27,1st,1st
"Dick, Mr. Albert Adrian",1,male,31,1st,1st
"Dick, Mrs. Albert Adrian (Vera",1,female,17,1st,1st
"Dodge, Dr. Washington",1,male,53,1st,1st
"Dodge, Master. Washington",1,male,4,1st,1st
"Dodge, Mrs. Washington (Ruth Vi",1,female,54,1st,1st
"Douglas, Mr. Walter Donald",0,male,50,1st,1st
"Douglas, Mrs. Frederick Charles",1,female,27,1st,1st
"Douglas, Mrs. Walter Donald (Ma",1,female,48,1st,1st
"Duff Gordon, Lady. (Lucille Chr",1,female,48,1st,1st
"Duff Gordon, Sir. Cosmo Edmund",1,male,49,1st,1st
"Dulles, Mr. William Crothers",0,male,39,1st,1st
"Earnshaw, Mrs. Boulton (Olive P",1,female,23,1st,1st
"Endres, Miss. Caroline Louise",1,female,38,1st,1st
"Eustis, Miss. Elizabeth Mussey",1,female,54,1st,1st
"Evans, Miss. Edith Corse",0,female,36,1st,1st
"Farthing, Mr. John",0,male,NA,1st,1st
"Flegenheim, Mrs. Alfred (Antoin",1,female,NA,1st,1st
"Fleming, Miss. Margaret",1,female,NA,1st,1st
"Flynn, Mr. John Irwin (Irving",1,male,36,1st,1st
"Foreman, Mr. Benjamin Laventall",0,male,30,1st,1st
"Fortune, Miss. Alice Elizabeth",1,female,24,1st,1st
"Fortune, Miss. Ethel Flora",1,female,28,1st,1st
"Fortune, Miss. Mabel Helen",1,female,23,1st,1st
"Fortune, Mr. Charles Alexander",0,male,19,1st,1st
"Fortune, Mr. Mark",0,male,64,1st,1st
"Fortune, Mrs. Mark (Mary McDoug",1,female,60,1st,1st
"Francatelli, Miss. Laura Mabel",1,female,30,1st,1st
"Franklin, Mr. Thomas Parham",0,male,NA,1st,1st
"Frauenthal, Dr. Henry William",1,male,50,1st,1st
"Frauenthal, Mr. Isaac Gerald",1,male,43,1st,1st
"Frauenthal, Mrs. Henry William",1,female,NA,1st,1st
"Frolicher, Miss. Hedwig Margari",1,female,22,1st,1st
"Frolicher-Stehli, Mr. Maxmillia",1,male,60,1st,1st
"Frolicher-Stehli, Mrs. Maxmilli",1,female,48,1st,1st
"Fry, Mr. Richard",0,male,NA,1st,1st
"Futrelle, Mr. Jacques Heath",0,male,37,1st,1st
"Futrelle, Mrs. Jacques Heath (L",1,female,35,1st,1st
"Gee, Mr. Arthur H",0,male,47,1st,1st
"Geiger, Miss. Amalie",1,female,35,1st,1st
"Gibson, Miss. Dorothy Winifred",1,female,22,1st,1st
"Gibson, Mrs. Leonard (Pauline C",1,female,45,1st,1st
"Giglio, Mr. Victor",0,male,24,1st,1st
"Goldenberg, Mr. Samuel L",1,male,49,1st,1st
"Goldenberg, Mrs. Samuel L (Edwi",1,female,NA,1st,1st
"Goldschmidt, Mr. George B",0,male,71,1st,1st
"Gracie, Col. Archibald IV",1,male,53,1st,1st
"Graham, Miss. Margaret Edith",1,female,19,1st,1st
"Graham, Mr. George Edward",0,male,38,1st,1st
"Graham, Mrs. William Thompson (",1,female,58,1st,1st
"Greenfield, Mr. William Bertram",1,male,23,1st,1st
"Greenfield, Mrs. Leo David (Bla",1,female,45,1st,1st
"Guggenheim, Mr. Benjamin",0,male,46,1st,1st
"Harder, Mr. George Achilles",1,male,25,1st,1st
"Harder, Mrs. George Achilles (D",1,female,25,1st,1st
"Harper, Mr. Henry Sleeper",1,male,48,1st,1st
"Harper, Mrs. Henry Sleeper (Myn",1,female,49,1st,1st
"Harrington, Mr. Charles H",0,male,NA,1st,1st
"Harris, Mr. Henry Birkhardt",0,male,45,1st,1st
"Harris, Mrs. Henry Birkhardt (I",1,female,35,1st,1st
"Harrison, Mr. William",0,male,40,1st,1st
"Hassab, Mr. Hammad",1,male,27,1st,1st
"Hawksford, Mr. Walter James",1,male,NA,1st,1st
"Hays, Miss. Margaret Bechstein",1,female,24,1st,1st
"Hays, Mr. Charles Melville",0,male,55,1st,1st
